Date,Value
2022-12-31,1.0
2022-09-30,0.0
2022-06-30,0.0
2022-03-31,4.0
2021-12-31,7.0
2021-09-30,7.0
2021-06-30,7.0
2021-03-31,0.0
2020-12-31,0.0
2020-06-30,0.0
2020-03-31,1.0
2019-12-31,4.0
2019-09-30,5.0
2019-06-30,3.0
2019-03-31,3.0
2018-12-31,6.0
2018-09-30,4.0
2018-06-30,5.0
2018-03-31,6.0
2017-12-31,5.0
2017-09-30,9.0
2017-06-30,7.0
